city,country,location,newCity,newCountry,lat,long,tempF,humidity,cloud,windMPH,maxTemp,timeStamp
mataura,pf,"mataura, pf",,,,,,,,,,
cartagena,co,"cartagena, co",Cartagena,CO,5.03,-75.64,70.34,100,40,4.7,71.6,
albany,au,"albany, au",Albany,AU,-35.02,117.88,62.6,72,64,9.17,62.6,
nanortalik,gl,"nanortalik, gl",Nanortalik,GL,60.14,-45.24,26.9,100,20,22.53,26.9,
kaeo,nz,"kaeo, nz",Kaeo,NZ,-35.1,173.78,70,96,92,14,70,
barrow,us,"barrow, us",Barrow,US,39.51,-90.4,41.58,48,1,6.93,43,
tuatapere,nz,"tuatapere, nz",Tuatapere,NZ,-46.13,167.69,57,64,44,5.01,57,
benha,eg,"benha, eg",,,,,,,,,,
vilyuysk,ru,"vilyuysk, ru",Vilyuysk,RU,63.75,121.63,20.24,77,20,3.06,20.24,
busselton,au,"busselton, au",Busselton,AU,-33.64,115.35,68.04,49,80,12.01,70,
rikitea,pf,"rikitea, pf",Rikitea,PF,-23.12,-134.97,76.76,100,24,18.5,76.76,
tall kayf,iq,"tall kayf, iq",,,,,,,,,,
uyuni,bo,"uyuni, bo",Uyuni,BO,-20.46,-66.82,46.61,92,88,2.39,46.61,
new norfolk,au,"new norfolk, au",New Norfolk,AU,-42.78,147.06,55.72,58,75,8.05,57.99,
hermanus,za,"hermanus, za",Hermanus,ZA,-34.42,19.24,59,82,88,3,59,
hofn,is,"hofn, is",Hofn,IS,64.25,-15.21,40.76,99,36,20.07,40.76,
kayes,ml,"kayes, ml",Kayes,ML,14.44,-11.44,78.29,65,0,2.73,78.29,
saleaula,ws,"saleaula, ws",,,,,,,,,,
dikson,ru,"dikson, ru",Dikson,RU,73.51,80.55,28.34,96,88,22.3,28.34,
faya,td,"faya, td",,,,,,,,,,
vaitupu,wf,"vaitupu, wf",,,,,,,,,,
kibre mengist,et,"kibre mengist, et",Kibre Mengist,ET,5.87,38.99,67.22,49,56,2.62,67.22,
benguela,ao,"benguela, ao",Benguela,AO,-12.58,13.4,80.36,100,0,5.97,80.36,
mar del plata,ar,"mar del plata, ar",Mar del Plata,AR,-46.43,-67.52,67.04,39,76,10.67,67.04,
butaritari,ki,"butaritari, ki",Butaritari,KI,3.07,172.79,81.53,100,36,13.24,81.53,
tiksi,ru,"tiksi, ru",Tiksi,RU,71.64,128.87,23.03,76,8,6.98,23.03,
castro,cl,"castro, cl",Castro,CL,-42.48,-73.76,55.4,100,90,5.82,55.4,
